"","HUC_12","AWDBYHUC","AWD_MGAL"
"699",10400010603,0,0
"700",10400010604,0,0
"701",10400010605,0,0
"702",10400010606,0,0
"703",10400010607,0,0
"704",10400020101,0,0
"705",10400020102,0,0
"706",10400020103,0,0
"707",10400020201,0,0
"708",10400020202,0,0
"709",10400020203,0,0
"710",10400020204,0,0
"711",10400020205,0,0
"712",10400020206,0,0
"713",10400020207,0,0
"714",10400020301,0,0
"715",10400020302,0,0
"716",10400020303,0,0
"717",10400020304,0,0
"718",10400020305,0,0
"719",10400020401,0,0
"720",10400020402,0,0
"721",10400020403,0,0
"722",10400020404,0,0
"723",10400020405,0,0
"724",10400020406,0,0
"725",10400020501,0,0
"726",10400020502,0,0
"727",10400020503,0,0
"728",10400020504,0,0
"729",10400020505,0,0
"730",10400020601,0,0
"731",10400020602,0,0
"732",10400020603,0,0
"733",10400020604,0,0
"734",10400020605,1652,0.001652
"735",10400020606,0,0
"736",10400020701,0,0
"737",10400020702,0,0
"738",10400020703,0,0
"739",10400020704,0,0
"740",10400020801,0,0
"741",10400020802,0,0
"742",10400020803,0,0
"743",10400020901,0,0
"744",10400020902,0,0
"745",10400020903,0,0
"746",10400020904,24,2.4e-05
"747",10400020905,0,0
"748",10400020906,0,0
"749",10400020907,0,0
"750",10400020908,72,7.2e-05
"751",10400020909,0,0
"752",10400020910,0,0
"753",10400021001,280,0.00028
"754",10400021002,3052,0.003052
"755",10400021003,0,0
"756",10400021004,0,0
"757",10400021005,112,0.000112
"758",10400021006,0,0
"759",10400021007,148,0.000148
"760",10500010101,0,0
"761",10500010102,0,0
"762",10500010207,0,0
"763",10500010301,0,0
"764",10500010302,0,0
"765",10500010303,0,0
"766",10500010304,0,0
"767",10500010305,0,0
"768",10500010306,0,0
"769",10500010307,0,0
"770",10500010401,0,0
"771",10500010402,0,0
"772",10500010403,0,0
"773",10500010404,0,0
"774",10500010501,0,0
"775",10500010502,0,0
"776",10500010503,0,0
"777",10500010504,0,0
"778",10500010505,0,0
"779",10500010506,0,0
"780",10500010601,0,0
"781",10500010602,0,0
"782",10500010603,0,0
"783",10500010604,0,0
"784",10500010605,0,0
"785",10500010606,0,0
"786",10500010701,0,0
"787",10500010702,0,0
"788",10500010705,0,0
"789",10500010706,0,0
"790",10500010707,0,0
"791",10500010708,0,0
"792",10500010801,0,0
"793",10500010802,0,0
"794",10500010804,0,0
"795",10500010806,0,0
"796",10500010809,0,0
"797",10500010810,0,0
"798",10500020101,1840,0.00184
"799",10500020102,0,0
"800",10500020103,0,0
"801",10500020104,0,0
"802",10500020201,0,0
"803",10500020202,0,0
"804",10500020301,0,0
"805",10500020302,0,0
"806",10500020303,0,0
"807",10500020304,0,0
"808",10500020305,0,0
"809",10500020306,0,0
"810",10500020307,0,0
"811",10500020308,0,0
"812",10500020309,0,0
"813",10500020310,0,0
"814",10500020401,0,0
"815",10500020402,0,0
"816",10500020403,0,0
"817",10500020404,0,0
"818",10500020501,0,0
"819",10500020502,0,0
"820",10500020503,0,0
"821",10500020504,0,0
"822",10500020505,0,0
"823",10500020601,0,0
"824",10500020602,0,0
"825",10500020701,0,0
"826",10500020702,0,0
"827",10500020703,0,0
"828",10500020801,0,0
"829",10500020802,0,0
"830",10500020803,0,0
"831",10500020901,240,0.00024
"832",10500020902,0,0
"833",10500020903,240,0.00024
"834",10500020904,160,0.00016
"835",10500021001,0,0
"836",10500021002,0,0
"837",10500021003,0,0
"838",10500021101,0,0
"839",10500021102,0,0
"840",10500021103,0,0
"841",10500021104,0,0
"842",10500021105,0,0
"843",10500021201,0,0
"844",10500021202,0,0
"845",10500021203,7280,0.00728
"846",10500021204,0,0
"847",10500021205,0,0
"848",10500021206,0,0
"849",10500021207,0,0
"850",10500021208,0,0
"851",10500021301,0,0
"852",10500021302,0,0
"853",10500021303,0,0
"854",10500021304,0,0
"855",10500021305,0,0
"856",10500021306,0,0
"857",10500021307,0,0
"858",10500021308,0,0
"859",10500021401,0,0
"860",10500021402,0,0
"861",10500021403,0,0
"862",10500021404,0,0
"863",10500021405,0,0
"864",10500021406,0,0
"865",10500021407,0,0
"866",10500021408,0,0
"867",10500021409,0,0
"868",10500021410,0,0
"869",10500021411,0,0
"870",10500021501,0,0
"871",10500021502,0,0
"872",10500021503,0,0
"873",10500021504,0,0
"874",10500021505,0,0
"875",10500021506,0,0
"876",10500021507,0,0
"877",10500021508,0,0
"878",10500021509,0,0
"879",10500021510,0,0
"880",10500021511,0,0
"881",10500021512,0,0
"882",10500021513,0,0
"883",10500021514,0,0
"884",10500021515,0,0
"885",10500021601,0,0
"886",10500021602,12936,0.012936
"887",10500021603,0,0
"888",10500021604,0,0
"889",10500021701,0,0
"890",10500021702,0,0
"891",10500021703,0,0
"892",10500021704,0,0
"893",10500021705,990,0.00099
"894",10500021706,0,0
"895",10500021707,0,0
"896",10500021708,0,0
"897",10500021709,0,0
"898",10500021710,0,0
"899",10500021801,0,0
"900",10500021802,0,0
"901",10500021803,0,0
"902",10500021804,0,0
"903",10500021805,0,0
"904",10500021806,0,0
"905",10500021807,0,0
"906",10500021808,0,0
"907",10500021809,0,0
"908",10500021901,0,0
"909",10500021902,0,0
"910",10500022001,0,0
"911",10500022002,0,0
"912",10500022003,0,0
"913",10500022101,0,0
"914",10500022102,0,0
"915",10500022103,0,0
"916",10500022201,0,0
"917",10500022202,0,0
"918",10500022203,0,0
"919",10500022204,0,0
"920",10500022205,0,0
"921",10500022206,76,7.6e-05
"922",10500022207,0,0
"923",10500022208,0,0
"924",10500022209,0,0
"925",10500030101,0,0
"926",10500030102,0,0
"927",10500030103,0,0
"928",10500030104,0,0
"929",10500030105,0,0
"930",10500030106,0,0
"931",10500030107,0,0
"932",10500030201,0,0
"933",10500030202,0,0
"934",10500030203,0,0
"935",10500030204,0,0
"936",10500030205,0,0
"937",10500030206,0,0
"938",10500030301,0,0
"939",10500030302,0,0
"940",10500030303,0,0
"941",10500030304,0,0
"942",10500030305,0,0
"943",10500030306,0,0
"944",10500030307,0,0
"945",10500030401,0,0
"946",10500030402,0,0
"947",10500030403,0,0
"948",10500030404,0,0
"949",10500030405,0,0
"950",10500030406,0,0
"951",10500030501,0,0
"952",10500030502,0,0
"953",10500030503,0,0
"954",10500030504,0,0
"955",10500030601,0,0
"956",10500030602,0,0
"957",10500030603,0,0
"958",10500030604,0,0
"959",10500030605,0,0
"960",10500030606,0,0
"961",10500040203,0,0
"962",10600010101,0,0
"963",10600010102,0,0
"964",10600010103,0,0
"965",10600010104,0,0
"966",10600010105,0,0
"967",10600010106,0,0
"968",10600010107,0,0
"969",10600010108,0,0
