"","SUM_INDGAL","HUC_12","IWD_MGAL"
"269",279238,10400020304,0.279238
"270",977333,10400020305,0.977333
"271",139619,10400020401,0.139619
"272",418857,10400020405,0.418857
"273",2652761,10400020406,2.652761
"274",418857,10400020502,0.418857
"275",418857,10400020503,0.418857
"276",558476,10400020504,0.558476
"277",1677716,10400020505,1.677716
"278",20592,10400020601,0.020592
"279",59040,10400020602,0.05904
"280",7240,10400020603,0.00724
"281",7240,10400020604,0.00724
"282",9971,10400020605,0.009971
"283",6351,10400020606,0.006351
"284",1256571,10400020701,1.256571
"285",279238,10400020702,0.279238
"286",23287,10400020703,0.023287
"287",6351,10400020704,0.006351
"288",8468,10400020801,0.008468
"289",6351,10400020802,0.006351
"290",160892,10400020803,0.160892
"291",1256571,10400020901,1.256571
"292",1116952,10400020902,1.116952
"293",279238,10400020903,0.279238
"294",3350856,10400020904,3.350856
"295",698095,10400020905,0.698095
"296",8468,10400020907,0.008468
"297",1679662,10400020908,1.679662
"298",145970,10400020909,0.14597
"299",118552,10400020910,0.118552
"300",19053,10400021001,0.019053
"301",38106,10400021002,0.038106
"302",24153,10400021003,0.024153
"303",154541,10400021005,0.154541
"304",83076,10400021006,0.083076
"305",471197,10400021007,0.471197
"306",79848,10500010101,0.079848
"307",26616,10500010102,0.026616
"308",57414,10500010303,0.057414
"309",267651,10500010604,0.267651
"310",267651,10500010605,0.267651
"311",1338255,10500010606,1.338255
"312",1338255,10500010802,1.338255
"313",267651,10500010804,0.267651
"314",1338255,10500010806,1.338255
"315",535302,10500010810,0.535302
"316",535302,10500020101,0.535302
"317",267651,10500020104,0.267651
"318",267651,10500020201,0.267651
"319",1605906,10500020202,1.605906
"320",802953,10500020301,0.802953
"321",535302,10500020302,0.535302
"322",535302,10500020303,0.535302
"323",535302,10500020306,0.535302
"324",2944161,10500020307,2.944161
"325",802953,10500020308,0.802953
"326",802953,10500020401,0.802953
"327",802953,10500020504,0.802953
"328",267651,10500020505,0.267651
"329",1873557,10500020802,1.873557
"330",535302,10500020903,0.535302
"331",2676510,10500020904,2.67651
"332",1873557,10500021001,1.873557
"333",1873557,10500021101,1.873557
"334",802953,10500021102,0.802953
"335",2408859,10500021103,2.408859
"336",535302,10500021104,0.535302
"337",1605906,10500021202,1.605906
"338",1338255,10500021204,1.338255
"339",802953,10500021205,0.802953
"340",1070604,10500021302,1.070604
"341",3479463,10500021305,3.479463
"342",2141208,10500021306,2.141208
"343",1070604,10500021402,1.070604
"344",310359,10500021403,0.310359
"345",1070604,10500021406,1.070604
"346",213540,10500021409,0.21354
"347",42708,10500021504,0.042708
"348",57414,10500021505,0.057414
"349",42708,10500021510,0.042708
"350",42708,10500021512,0.042708
"351",42708,10500021514,0.042708
"352",298956,10500021515,0.298956
"353",85416,10500021601,0.085416
"354",1323948,10500021602,1.323948
"355",170832,10500021603,0.170832
"356",42708,10500021604,0.042708
"357",213540,10500021701,0.21354
"358",256248,10500021702,0.256248
"359",427080,10500021705,0.42708
"360",341664,10500021706,0.341664
"361",341664,10500021707,0.341664
"362",1110408,10500021708,1.110408
"363",384372,10500021801,0.384372
"364",85416,10500021802,0.085416
"365",2092692,10500021803,2.092692
"366",128124,10500021805,0.128124
"367",42708,10500021806,0.042708
"368",597912,10500021807,0.597912
"369",170832,10500021901,0.170832
"370",341664,10500021902,0.341664
"371",469788,10500022001,0.469788
"372",640620,10500022002,0.64062
"373",20136,10500022101,0.020136
"374",20136,10500022102,0.020136
"375",125850,10500022103,0.12585
"376",15102,10500022201,0.015102
"377",40272,10500022202,0.040272
"378",20136,10500022203,0.020136
"379",32163,10500022204,0.032163
"380",8838,10500022205,0.008838
"381",51555,10500022206,0.051555
"382",246870,10500022207,0.24687
"383",328788,10500022208,0.328788
"384",1473,10500022209,0.001473
"385",35238,10500030101,0.035238
"386",45306,10500030102,0.045306
"387",28116,10500030103,0.028116
"388",11784,10500030104,0.011784
"389",20622,10500030105,0.020622
"390",31599,10500030106,0.031599
"391",48609,10500030107,0.048609
"392",17535,10500030201,0.017535
"393",13116,10500030202,0.013116
"394",36363,10500030203,0.036363
"395",19251,10500030204,0.019251
"396",34224,10500030301,0.034224
"397",26616,10500030302,0.026616
"398",8556,10500030303,0.008556
"399",100533,10500030304,0.100533
"400",44919,10500030305,0.044919
"401",35238,10500030401,0.035238
"402",19910,10500030402,0.01991
"403",23529,10500030403,0.023529
"404",2139,10500030404,0.002139
"405",4278,10500030405,0.004278
"406",38502,10500030406,0.038502
"407",10695,10500030501,0.010695
"408",14973,10500030502,0.014973
"409",62238,10500030503,0.062238
"410",55216,10500030601,0.055216
"411",43677,10500030602,0.043677
"412",166152,10500030603,0.166152
"413",5934,10500030604,0.005934
"414",267651,10500040203,0.267651
"415",436673,10600010102,0.436673
"416",707003,10600010103,0.707003
"417",89080,10600010104,0.08908
"418",169252,10600010105,0.169252
"419",314870,10600010106,0.31487
"420",80172,10600010107,0.080172
"421",8908,10600010108,0.008908
"422",17816,10600010109,0.017816
"423",178160,10600010110,0.17816
"424",182751,10600010201,0.182751
"425",80172,10600010202,0.080172
"426",62356,10600010203,0.062356
"427",106896,10600010204,0.106896
"428",142528,10600010205,0.142528
"429",285056,10600010206,0.285056
"430",320688,10600010301,0.320688
"431",173636,10600010302,0.173636
"432",115804,10600010303,0.115804
"433",302872,10600010304,0.302872
"434",53448,10600010305,0.053448
"435",774996,10600010306,0.774996
"436",426348,10600010401,0.426348
"437",1549992,10600010402,1.549992
"438",97988,10600010501,0.097988
"439",36168,10600010502,0.036168
"440",200360,10600010503,0.20036
"441",24252,10600010504,0.024252
"442",447592,10600010505,0.447592
"443",74224,10600010601,0.074224
"444",1493570,10600010602,1.49357
"445",195976,10600010603,0.195976
"446",97988,10600010606,0.097988
"447",673,10600020104,0.000673
"448",1346,10600020105,0.001346
"449",3365,10600020106,0.003365
"450",2692,10600020202,0.002692
"451",10095,10600020203,0.010095
"452",1346,10600020204,0.001346
"453",1346,10600020301,0.001346
"454",19517,10600020302,0.019517
"455",16152,10600020303,0.016152
"456",840406,10600020304,0.840406
"457",673,10600020401,0.000673
"458",418857,10600020402,0.418857
"459",576292,10600020403,0.576292
"460",1116952,10600020404,1.116952
"461",418857,10600020405,0.418857
"462",1535809,10600020406,1.535809
"463",707003,10600020501,0.707003
"464",139619,10600020502,0.139619
"465",26724,10600020503,0.026724
"466",576292,10600020504,0.576292
"467",2692,10600020601,0.002692
"468",2019,10600020602,0.002019
"469",6057,10600020603,0.006057
"470",6730,10600020604,0.00673
"471",6057,10600020605,0.006057
"472",673,10600020701,0.000673
"473",2019,10600020702,0.002019
"474",9422,10600020703,0.009422
"475",3365,10600020801,0.003365
"476",673,10600020802,0.000673
"477",2019,10600020803,0.002019
"478",5384,10600020804,0.005384
"479",673,10600020901,0.000673
"480",2692,10600020902,0.002692
"481",565052,10600020903,0.565052
"482",1540193,10600020904,1.540193
"483",3788,10600021001,0.003788
"484",7672,10600021002,0.007672
"485",1096,10600021003,0.001096
"486",3288,10600021004,0.003288
"487",10960,10600021005,0.01096
"488",4384,10600021006,0.004384
"489",7672,10600021007,0.007672
"490",50020,10600021101,0.05002
"491",35492,10600021102,0.035492
"492",18632,10600021103,0.018632
"493",8768,10600021104,0.008768
"494",113984,10600021105,0.113984
"495",6576,10600030101,0.006576
"496",32880,10600030102,0.03288
"497",5480,10600030201,0.00548
"498",38360,10600030202,0.03836
"499",4384,10600030203,0.004384
"500",8768,10600030204,0.008768
"501",27400,10600030205,0.0274
"502",18632,10600030301,0.018632
"503",29592,10600030401,0.029592
"504",14248,10600030402,0.014248
"505",2692,10600030501,0.002692
"506",10424,10600030502,0.010424
"507",1769,10600030503,0.001769
"508",17828,10600030504,0.017828
"509",8768,10600030505,0.008768
"510",149760,10600030506,0.14976
"511",51000,10600030507,0.051
"512",31272,10600030601,0.031272
"513",13030,10600030602,0.01303
"514",174602,10600030603,0.174602
"515",11164,10600030604,0.011164
"516",18242,10600030605,0.018242
"517",7818,10600030606,0.007818
"518",18242,10600030607,0.018242
"519",161572,10600030608,0.161572
"520",18403,10600030701,0.018403
"521",13384,10600030702,0.013384
"522",1673,10600030703,0.001673
"523",66920,10600030704,0.06692
"524",25095,10600030705,0.025095
"525",14317,10600030706,0.014317
"526",15250,10600030707,0.01525
"527",16730,10600030708,0.01673
"528",27894,10600030709,0.027894
"529",31787,10600030801,0.031787
"530",11711,10600030802,0.011711
"531",35133,10600030803,0.035133
"532",30114,10600030804,0.030114
"533",26768,10600030805,0.026768
"534",86996,10600030806,0.086996
"535",45171,10600030901,0.045171
"536",59938,10600030902,0.059938
"537",148542,10600030903,0.148542
"538",36806,10600030904,0.036806
"539",289713,10600031001,0.289713
"540",38479,10600031002,0.038479
"541",113764,10600031003,0.113764
"542",111641,10600031005,0.111641
"543",18632,10600031101,0.018632
"544",61376,10600031102,0.061376
"545",26304,10600031103,0.026304
"546",1096,10600031104,0.001096
"547",3820,10700010104,0.00382
"548",1910,10700010201,0.00191
"549",955,10700010202,0.000955
"550",2865,10700010203,0.002865
"551",4775,10700010205,0.004775
"552",3820,10700010206,0.00382
"553",955,10700010301,0.000955
"554",5730,10700010302,0.00573
"555",2865,10700010303,0.002865
"556",1910,10700010304,0.00191
"557",1910,10700010305,0.00191
"558",7640,10700010306,0.00764
"559",12415,10700010307,0.012415
"560",4775,10700010401,0.004775
"561",2865,10700010402,0.002865
"562",2865,10700010403,0.002865
"563",10505,10700010404,0.010505
"564",11833,10700010501,0.011833
"565",11460,10700010502,0.01146
"566",1910,10700010601,0.00191
"567",6685,10700010602,0.006685
"568",5730,10700010603,0.00573
"569",3820,10700010701,0.00382
"570",6339,10700010702,0.006339
"571",21103,10700010801,0.021103
"572",6123,10700010802,0.006123
"573",7353,10700010803,0.007353
"574",8106,10700010804,0.008106
"575",20885,10700020101,0.020885
"576",21540,10700020102,0.02154
"577",6730,10700020103,0.00673
"578",3365,10700020104,0.003365
"579",5428,10700020105,0.005428
"580",25143,10700020106,0.025143
"581",34697,10700020107,0.034697
"582",26533,10700020108,0.026533
"583",24492,10700020109,0.024492
"584",87763,10700020110,0.087763
"585",91845,10700020201,0.091845
"586",100993,10700020202,0.100993
"587",51129,10700030101,0.051129
"588",7866,10700030102,0.007866
"589",43299,10700030103,0.043299
"590",90551,10700030104,0.090551
"591",7874,10700030105,0.007874
"592",19685,10700030106,0.019685
"593",15748,10700030107,0.015748
"594",78740,10700030108,0.07874
"595",18841,10700030202,0.018841
"596",22001,10700030203,0.022001
"597",22307,10700030204,0.022307
"598",78740,10700030301,0.07874
"599",9264,10700030302,0.009264
"600",22002,10700030303,0.022002
"601",2316,10700030401,0.002316
"602",10422,10700030402,0.010422
"603",17370,10700030403,0.01737
"604",16212,10700030404,0.016212
"605",2316,10700030501,0.002316
"606",6948,10700030502,0.006948
"607",5790,10700030503,0.00579
"608",6948,10700030504,0.006948
"609",13896,10700030601,0.013896
"610",4632,10700030602,0.004632
"611",9264,10700030603,0.009264
"612",2344448,10700040101,2.344448
"613",5715743,10700040102,5.715743
"614",6667024,10700040103,6.667024
"615",1428648,10700040201,1.428648
"616",622744,10700040202,0.622744
