"","HUC12","ReptSpcNum"
"562",31001010904,48
"563",121101050205,47
"564",30901012102,51
"565",31002010201,51
"566",121101110304,53
"567",30902060402,58
"568",121101050103,51
"569",121101110205,51
"570",31001010901,49
"571",121101050104,51
"572",121004070206,62
"573",31002020201,52
"574",31002010102,57
"575",121004060302,63
"576",30901030301,59
"577",121101110206,51
"578",30902060604,64
"579",31001020103,50
"580",121101030507,51
"581",31001010805,49
"582",31001020102,50
"583",121004070106,56
"584",121101050907,49
"585",121004070205,59
"586",31001010704,48
"587",121004050305,66
"588",31002020202,52
"589",121101030504,51
"590",121004060301,65
"591",31001010605,50
"592",30901020302,51
"593",121101050204,47
"594",121101051009,49
"595",30902060501,57
"596",130800020109,47
"597",30901030101,56
"598",130800020303,50
"599",30901011703,56
"600",31001020104,50
"601",121101051007,48
"602",121101110305,53
"603",121101030506,51
"604",31001010601,51
"605",121101051008,48
"606",30902060502,62
"607",30901011702,57
"608",121101050901,48
"609",121101110302,52
"610",121101050105,51
"611",30901030402,54
"612",121101051101,48
"613",130800020205,50
"614",121004070204,59
"615",121101051204,50
"616",31001010705,49
"617",121004060109,65
"618",121101050106,48
"619",121101030604,49
"620",121101051102,49
"621",121101030505,50
"622",31002020204,59
"623",121004070103,56
"624",31001010604,50
"625",30902060503,61
"626",31002020105,50
"627",121004060306,68
"628",31001010802,50
"629",31002020103,50
"630",31001010602,50
"631",121004050303,70
"632",30901012101,53
"633",121101051105,49
"634",30901012004,54
"635",121101110204,50
"636",31001020101,51
"637",121101110202,51
"638",31002010101,61
"639",31002020203,54
"640",130800020108,46
"641",121101030302,50
"642",121004070104,54
"643",30901020200,53
"644",31001010703,48
"645",121101050206,47
"646",31002020107,52
"647",121004060107,63
"648",121101051106,49
"649",121101080405,48
"650",121101030303,50
"651",121004060108,63
"652",30901020301,52
"653",121101110201,47
"654",31001010702,50
"655",121101051202,50
"656",31002020104,50
"657",121101030605,49
"658",30901011704,57
"659",121004060206,65
"660",121101051205,50
"661",30901011804,58
"662",130800020204,49
"663",31001010504,57
"664",31002060501,56
"665",121101051203,50
"666",130800020302,48
"667",121101110303,52
"668",121101080406,48
"669",30901012003,53
"670",31001010603,50
"671",30902060300,58
"672",121101030601,49
"673",121101051206,50
"674",121004050102,67
"675",121101080305,47
"676",121004050302,68
"677",121101050202,48
"678",121004070102,55
"679",121004050304,68
"680",31001010701,50
"681",121004060106,56
"682",121004040000,73
"683",130800020202,49
"684",121004050301,67
"685",121101110301,51
"686",31001010505,55
"687",31002020106,52
"688",121004070101,54
"689",121101080408,48
"690",30901011701,57
"691",31001010803,48
"692",130800020107,46
"693",121101080401,47
"694",121004060209,66
"695",121101080304,48
"696",31002020102,51
"697",121101030701,51
"698",121101050203,48
"699",31002030201,57
"700",121004060204,59
"701",31001010503,50
"702",121101080303,48
"703",121004060208,65
"704",30901020100,53
"705",121101030304,48
"706",31002030104,52
"707",121004060304,66
"708",121101110203,50
"709",121101030704,49
"710",30901011902,53
"711",121101080407,48
"712",121101030606,50
"713",121101080501,48
"714",121101030301,48
"715",30902060100,57
"716",31002020101,52
"717",121004060205,62
"718",30901011802,57
"719",121101050201,48
"720",31001010801,52
"721",121101110101,49
"722",121101030602,49
"723",121101080502,47
"724",121101080505,47
"725",130800020203,49
"726",130800020106,47
"727",30901011901,51
"728",31001010506,55
"729",121101080404,48
"730",30901011801,56
"731",31002030102,51
"732",31002060502,62
"733",31002030203,60
"734",121003030607,68
"735",121101080506,49
"736",31001010403,50
"737",121004050101,66
"738",30901012002,51
"739",31002030105,53
"740",121004060104,52
"741",30801010101,50
"742",121004060305,67
"743",30901011803,54
"744",121004060105,58
"745",121101110106,50
"746",121101080302,49
"747",121101040603,48
"748",31002030202,56
"749",121101030705,48
"750",121002040404,68
"751",121101030305,48
"752",121101080301,49
"753",30902060200,62
"754",121004060207,64
"755",130800020201,49
"756",121101080410,46
"757",121101030205,49
"758",121101080503,46
"759",31002060604,63
"760",31002030101,52
"761",31001010401,51
"762",121101080106,48
"763",121101080409,46
"764",31001010404,50
"765",121003030606,67
"766",121004060202,57
"767",31001010501,55
"768",31002030103,53
"769",31001010405,50
"770",30901011505,51
"771",121101090502,46
"772",31001010502,50
"773",30901011504,50
"774",121101100507,48
"775",121004060103,52
"776",30901011604,52
"777",121101030703,49
"778",121004060203,60
"779",130800020104,48
"780",121101110105,50
"781",31001010402,50
"782",121101110104,49
"783",121101030206,49
"784",121101090505,47
"785",30801010102,51
"786",121101080403,46
"787",121101030603,48
"788",31001010305,52
"789",121002040402,67
"790",121002040403,67
"791",121101080504,48
"792",30901012001,52
